User_Login,User_Code,Status,Semester,Term_ID,Major_ID,Campus,Value,Average_Grade,Prefix_Subject
sonnhpf15001,PF15001,HDI,1,30,1,ph,1,7.37500,COM
sonnhpf15001,PF15001,HDI,1,30,1,ph,1,6.25000,ENT
sonnhpf15001,PF15001,HDI,2,33,12,ph,1,8.10000,MOB
sonnhpf15001,PF15001,HDI,1,30,1,ph,1,7.50000,MUL
sonnhpf15001,PF15001,HDI,1,30,1,ph,1,8.10000,SKI
sonnhpf15001,PF15001,HDI,3,34,12,ph,1,7.10000,SOF
sonnhpf15001,PF15001,HDI,2,33,12,ph,1,7.95000,WEB
manhntpf15005,PF15005,HDI,1,30,1,ph,1,7.27500,COM
manhntpf15005,PF15005,HDI,1,30,1,ph,1,6.70000,ENT
manhntpf15005,PF15005,HDI,2,33,12,ph,1,6.16667,MOB
manhntpf15005,PF15005,HDI,1,30,1,ph,1,6.70000,MUL
manhntpf15005,PF15005,HDI,1,30,1,ph,1,7.40000,SKI
manhntpf15005,PF15005,HDI,3,34,12,ph,1,5.90000,SOF
manhntpf15005,PF15005,HDI,2,33,12,ph,1,6.65000,WEB
totndpf15013,PF15013,HDI,1,30,1,ph,1,6.17500,COM
totndpf15013,PF15013,HDI,1,30,1,ph,1,7.50000,ENT
totndpf15013,PF15013,HDI,2,33,12,ph,1,4.73333,MOB
totndpf15013,PF15013,HDI,1,30,1,ph,1,6.50000,MUL
totndpf15013,PF15013,HDI,1,30,1,ph,1,8.40000,SKI
totndpf15013,PF15013,HDI,3,34,12,ph,0,5.10000,SOF
totndpf15013,PF15013,HDI,2,33,12,ph,0,6.40000,WEB
khanhtdpf15019,PF15019,HDI,1,30,1,ph,1,8.07500,COM
khanhtdpf15019,PF15019,HDI,1,30,1,ph,1,6.60000,ENT
khanhtdpf15019,PF15019,HDI,2,33,12,ph,1,7.66667,MOB
khanhtdpf15019,PF15019,HDI,1,30,1,ph,1,7.40000,MUL
khanhtdpf15019,PF15019,HDI,1,30,1,ph,1,7.90000,SKI
khanhtdpf15019,PF15019,HDI,3,34,12,ph,1,8.20000,SOF
khanhtdpf15019,PF15019,HDI,2,33,12,ph,1,7.90000,WEB
thangdcpf15028,PF15028,HDI,1,30,1,ph,1,8.70000,COM
thangdcpf15028,PF15028,HDI,1,30,1,ph,1,7.66667,ENT
thangdcpf15028,PF15028,HDI,2,33,12,ph,1,8.40000,MOB
thangdcpf15028,PF15028,HDI,1,30,1,ph,1,7.70000,MUL
thangdcpf15028,PF15028,HDI,1,30,1,ph,1,8.10000,SKI
thangdcpf15028,PF15028,HDI,3,34,12,ph,1,8.80000,SOF
thangdcpf15028,PF15028,HDI,2,33,12,ph,1,8.40000,WEB
tacpdpf15029,PF15029,HDI,1,30,1,ph,1,7.20000,COM
tacpdpf15029,PF15029,HDI,1,30,1,ph,1,6.65000,ENT
tacpdpf15029,PF15029,HDI,2,33,12,ph,1,7.03333,MOB
tacpdpf15029,PF15029,HDI,1,30,1,ph,1,7.10000,MUL
tacpdpf15029,PF15029,HDI,1,30,1,ph,1,7.90000,SKI
tacpdpf15029,PF15029,HDI,3,34,12,ph,1,6.70000,SOF
tacpdpf15029,PF15029,HDI,2,33,12,ph,1,7.95000,WEB
