"Student_Code","Semester","major_name","Major_ID","Campus_Code","term_name","Term_ID","Status"
"PF15001","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15001","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15001","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15005","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15005","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15005","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15013","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15013","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15013","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15019","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15019","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15019","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15028","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15028","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15028","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15029","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15029","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15029","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15030","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15030","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15030","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15035","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15035","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15035","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15050","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15050","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15050","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15051","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
