"major","specialized_major","curriculum_id","period_name","subject_name","subject_code","num_of_credit"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Kỹ năng học tập","SKI1014","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Nhập môn lập trình","COM108","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Tin học","COM107","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 1","Giáo dục quốc phòng","VIE104","4"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 2","Lập trình Java 1","MOB1013","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 2","Cơ sở dữ liệu","COM2012","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 2","Lập trình Javascript","WEB104","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 2","Xây dựng trang Web","WEB1013","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 3","Quản trị cơ sở dữ liệu với SQL Server","COM203","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 3","Lập trình Java 2","MOB1023","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 3","Lập trình Java 3","SOF203","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 3","Quản lý dự án với phần mềm Agile","MOB104","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 4","Dự án mẫu (ngành UDPM)","SOF204","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 4","Nhập môn kỹ thuật phần mềm","SOF102","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 4","Dự án 1 (UDPM-Java)","PRO1041","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Lập trình Java 4","SOF301","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Kiểm thử cơ bản","SOF303","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Pháp luật","VIE1026","2"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Front-End Frameworks","WEB207","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Chính trị","VIE1016","4"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 5","Kiểm thử nâng cao","SOF304","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 6","Lập trình Java 5","SOF302","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 6","Kỹ năng làm việc","SKI2015","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 6","Lập trình Java 6","SOF306","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 7","Thực tập tốt nghiệp (UDPM)","PRO115","5"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Java)","190","HK 7","Dự án 2 - Ứng dụng công nghệ thông tin","PRO2111","5"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Kỹ năng học tập","SKI1014","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Nhập môn lập trình","COM108","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Giáo dục quốc phòng","VIE104","4"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Tin học","COM107","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 2","Lập trình cơ sở với JavaScript","WEB1042","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 2","Xây dựng trang Web","WEB1013","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 2","Lập trình Java 1","MOB1013","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 2","Cơ sở dữ liệu","COM2012","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 3","Thiết kế Web với HTML5&CSS3","WEB3023","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 3","Thiết kế giao diện trên Android","MOB202","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 3","Lập trình Java 2","MOB1023","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 3","Lập trình Android cơ bản","MOB103","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 4","Lập trình Android nâng cao","MOB201","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 4","Dự án 1 (LTMT)","PRO1121","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 4","Dự án mẫu (ngành Mobile)","MOB204","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Lập trình Mobile đa nền tảng","MOB306","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Pháp luật","VIE1026","2"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Lập trình game 2D nâng cao","MOB401","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Chính trị","VIE1016","4"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Lập trình server cho Android","MOB402","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 5","Lập trình game 2D","MOB305","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 6","Kỹ năng làm việc","SKI2015","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 6","Android Networking","MOB403","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 6","Quản lý dự án với phần mềm Agile","MOB104","3"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 7","Dự án tốt nghiệp (LTMT-Mobile)","PRO2052","5"
"Lập trình máy tính","Lập trình máy tính(Mobile)","191","HK 7","Thực tập tốt nghiệp (LTMT)","PRO118","5"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Tin học","COM107","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Giáo dục quốc phòng","VIE104","4"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Kỹ năng học tập","SKI1014","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
